ut1_unix,gdlat,glon,tec,dtec,station,experiment_id,file,timestamp_utc,year,date,month,hour
1643587200.0,40.0,44.0,3.1819,1.33292,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:00:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643588100.0,40.0,44.0,5.95484,0.923087,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:15:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643588400.0,40.0,44.0,5.92533,0.920928,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:20:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643588700.0,40.0,44.0,4.77601,1.30236,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:25:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643589000.0,40.0,44.0,4.6649,0.921903,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:30:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643589300.0,40.0,44.0,4.53476,0.921332,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:35:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643589600.0,40.0,44.0,5.58095,0.921276,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:40:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643589900.0,40.0,44.0,5.54132,0.921557,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:45:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643590200.0,40.0,44.0,6.81756,1.3029,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 00:50:00+00:00,2022,2022-01-31,1,2022-01-31 00:00:00+00:00
1643591700.0,40.0,44.0,4.17487,1.3083,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 01:15:00+00:00,2022,2022-01-31,1,2022-01-31 01:00:00+00:00
1643592000.0,40.0,44.0,4.15731,1.31392,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 01:20:00+00:00,2022,2022-01-31,1,2022-01-31 01:00:00+00:00
1643592900.0,40.0,44.0,4.00543,1.31508,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 01:35:00+00:00,2022,2022-01-31,1,2022-01-31 01:00:00+00:00
1643593200.0,40.0,44.0,4.09438,1.31055,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 01:40:00+00:00,2022,2022-01-31,1,2022-01-31 01:00:00+00:00
1643593500.0,40.0,44.0,4.1041,1.3097,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 01:45:00+00:00,2022,2022-01-31,1,2022-01-31 01:00:00+00:00
1643593800.0,40.0,44.0,4.20231,1.30897,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 01:50:00+00:00,2022,2022-01-31,1,2022-01-31 01:00:00+00:00
1643594100.0,40.0,44.0,3.63418,0.926378,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 01:55:00+00:00,2022,2022-01-31,1,2022-01-31 01:00:00+00:00
1643594400.0,40.0,44.0,3.97533,0.467763,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:00:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643594700.0,40.0,44.0,3.49844,0.41366,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:05:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643595000.0,40.0,44.0,3.478,0.378081,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:10:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643595300.0,40.0,44.0,3.05063,0.494568,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:15:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643595600.0,40.0,44.0,4.81593,1.32363,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:20:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643595900.0,40.0,44.0,4.97011,1.31891,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:25:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643596200.0,40.0,44.0,5.36782,0.926756,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:30:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643596500.0,40.0,44.0,5.44189,0.926217,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:35:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643596800.0,40.0,44.0,5.59545,1.3016,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:40:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643597100.0,40.0,44.0,5.55819,1.30173,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:45:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643597400.0,40.0,44.0,5.29816,1.30168,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:50:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643597700.0,40.0,44.0,5.03373,0.925114,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 02:55:00+00:00,2022,2022-01-31,1,2022-01-31 02:00:00+00:00
1643598600.0,40.0,44.0,3.48573,1.30561,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:10:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
1643598900.0,40.0,44.0,3.37576,0.926277,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:15:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
1643599200.0,40.0,44.0,3.41643,0.921145,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:20:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
1643599500.0,40.0,44.0,3.51545,0.921879,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:25:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
1643599800.0,40.0,44.0,3.71045,0.9216,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:30:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
1643600100.0,40.0,44.0,3.71475,0.921137,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:35:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
1643600400.0,40.0,44.0,3.17241,0.434806,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:40:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
1643600700.0,40.0,44.0,3.2786,0.36182,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:45:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
1643601000.0,40.0,44.0,5.08638,0.765431,ARUC,100008777,/opt/openmadrigal/madroot/experiments4/2022/gps/31jan22/gps220131g.002.hdf5,2022-01-31 03:50:00+00:00,2022,2022-01-31,1,2022-01-31 03:00:00+00:00
