station,records_in_cell,unique_days,coverage_pct_days,unique_hourly_bins,december_days_present,december_coverage_pct,months_run
ARUC,6344,32,8.767,767,0,0.0,10
BSHM,8243,32,8.767,767,0,0.0,10
NICO,4475,32,8.767,732,0,0.0,10
