ut1_unix,gdlat,glon,tec,dtec,station,experiment_id,file,timestamp_utc,year,date,month,hour
1653955200.0,40.0,44.0,8.16886,1.30168,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 00:00:00+00:00,2022,2022-05-31,5,2022-05-31 00:00:00+00:00
1653955500.0,40.0,44.0,8.04592,1.30297,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 00:05:00+00:00,2022,2022-05-31,5,2022-05-31 00:00:00+00:00
1653956400.0,40.0,44.0,6.66871,1.31037,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 00:20:00+00:00,2022,2022-05-31,5,2022-05-31 00:00:00+00:00
1653956700.0,40.0,44.0,6.55732,1.30842,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 00:25:00+00:00,2022,2022-05-31,5,2022-05-31 00:00:00+00:00
1653958200.0,40.0,44.0,3.80594,0.743835,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 00:50:00+00:00,2022,2022-05-31,5,2022-05-31 00:00:00+00:00
1653958500.0,40.0,44.0,3.89175,0.533455,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 00:55:00+00:00,2022,2022-05-31,5,2022-05-31 00:00:00+00:00
1653958800.0,40.0,44.0,3.99431,0.584843,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 01:00:00+00:00,2022,2022-05-31,5,2022-05-31 01:00:00+00:00
1653960300.0,40.0,44.0,6.28461,1.30231,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 01:25:00+00:00,2022,2022-05-31,5,2022-05-31 01:00:00+00:00
1653960600.0,40.0,44.0,6.3808,1.30151,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 01:30:00+00:00,2022,2022-05-31,5,2022-05-31 01:00:00+00:00
1653960900.0,40.0,44.0,6.56515,1.30157,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 01:35:00+00:00,2022,2022-05-31,5,2022-05-31 01:00:00+00:00
1653961200.0,40.0,44.0,6.77395,1.30164,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 01:40:00+00:00,2022,2022-05-31,5,2022-05-31 01:00:00+00:00
1653961500.0,40.0,44.0,6.91061,1.30156,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 01:45:00+00:00,2022,2022-05-31,5,2022-05-31 01:00:00+00:00
1653961800.0,40.0,44.0,7.06112,1.30184,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 01:50:00+00:00,2022,2022-05-31,5,2022-05-31 01:00:00+00:00
1653962400.0,40.0,44.0,7.70719,1.30825,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 02:00:00+00:00,2022,2022-05-31,5,2022-05-31 02:00:00+00:00
1653962700.0,40.0,44.0,8.04081,0.93172,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 02:05:00+00:00,2022,2022-05-31,5,2022-05-31 02:00:00+00:00
1653963000.0,40.0,44.0,8.29618,0.923577,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 02:10:00+00:00,2022,2022-05-31,5,2022-05-31 02:00:00+00:00
1653963300.0,40.0,44.0,8.66624,0.923283,ARUC,100008654,/opt/openmadrigal/madroot/experiments4/2022/gps/31may22/gps220531g.002.hdf5,2022-05-31 02:15:00+00:00,2022,2022-05-31,5,2022-05-31 02:00:00+00:00
