station,records_in_cell,unique_days,coverage_pct_days,unique_hourly_bins,december_days_present,december_coverage_pct,months_run
ARUC,6013,32,8.767,764,0,0.0,3
BSHM,8393,32,8.767,767,0,0.0,3
NICO,4691,32,8.767,751,0,0.0,3
