dtec,gdlat,glon,station,tec,ut1_unix
0.923788,32.0,35.0,BSHM,32.5106,1667293200.0
1.30491,32.0,35.0,BSHM,33.2149,1667294100.0
0.922135,32.0,35.0,BSHM,33.2335,1667294400.0
0.921577,32.0,35.0,BSHM,33.338,1667294700.0
0.752415,32.0,35.0,BSHM,33.3813,1667295000.0
0.651517,32.0,35.0,BSHM,33.4656,1667295300.0
0.651485,32.0,35.0,BSHM,33.6474,1667295600.0
0.582682,32.0,35.0,BSHM,33.9229,1667295900.0
0.532543,32.0,35.0,BSHM,34.0627,1667296200.0
0.534275,32.0,35.0,BSHM,33.9553,1667296500.0
0.652103,32.0,35.0,BSHM,34.3804,1667296800.0
0.921491,32.0,35.0,BSHM,35.5503,1667297100.0
1.30278,32.0,35.0,BSHM,35.9532,1667297400.0
1.30646,32.0,35.0,BSHM,31.8182,1667298000.0
0.923363,32.0,35.0,BSHM,34.4479,1667298300.0
0.584928,32.0,35.0,BSHM,35.6075,1667298600.0
0.654632,32.0,35.0,BSHM,35.7407,1667298900.0
0.753425,32.0,35.0,BSHM,35.4464,1667299200.0
0.53283,32.0,35.0,BSHM,36.496,1667299500.0
0.493069,32.0,35.0,BSHM,37.1177,1667299800.0
0.492904,32.0,35.0,BSHM,37.8199,1667300100.0
0.492795,32.0,35.0,BSHM,37.9095,1667300400.0
0.460893,32.0,35.0,BSHM,37.9149,1667300700.0
0.435101,32.0,35.0,BSHM,37.6828,1667301000.0
0.434578,32.0,35.0,BSHM,37.726,1667301300.0
0.531934,32.0,35.0,BSHM,38.2709,1667301600.0
0.582657,32.0,35.0,BSHM,38.3055,1667301900.0
0.582655,32.0,35.0,BSHM,38.5032,1667302200.0
0.651683,32.0,35.0,BSHM,38.903,1667302500.0
0.752242,32.0,35.0,BSHM,39.1829,1667302800.0
0.921207,32.0,35.0,BSHM,39.4942,1667303100.0
1.30295,32.0,35.0,BSHM,39.8728,1667303400.0
0.920968,32.0,35.0,BSHM,37.7133,1667304000.0
0.752041,32.0,35.0,BSHM,37.4479,1667304300.0
0.75195,32.0,35.0,BSHM,37.1753,1667304600.0
0.752167,32.0,35.0,BSHM,36.685,1667304900.0
0.651222,32.0,35.0,BSHM,36.23,1667305200.0
0.651207,32.0,35.0,BSHM,35.671,1667305500.0
0.651215,32.0,35.0,BSHM,35.1649,1667305800.0
0.582475,32.0,35.0,BSHM,34.6182,1667306100.0
0.582534,32.0,35.0,BSHM,34.0974,1667306400.0
0.651285,32.0,35.0,BSHM,33.56,1667306700.0
0.920803,32.0,35.0,BSHM,32.6569,1667307000.0
0.920811,32.0,35.0,BSHM,32.0403,1667307300.0
1.30218,32.0,35.0,BSHM,31.4193,1667307600.0
1.30219,32.0,35.0,BSHM,30.7439,1667307900.0
0.937349,32.0,35.0,BSHM,31.0911,1667309400.0
0.75639,32.0,35.0,BSHM,30.3065,1667309700.0
0.584929,32.0,35.0,BSHM,29.3303,1667310000.0
0.492865,32.0,35.0,BSHM,28.3448,1667310300.0
0.434271,32.0,35.0,BSHM,27.5038,1667310600.0
0.434276,32.0,35.0,BSHM,26.7424,1667310900.0
0.392847,32.0,35.0,BSHM,26.0872,1667311200.0
0.361352,32.0,35.0,BSHM,25.5238,1667311500.0
0.376109,32.0,35.0,BSHM,24.9956,1667311800.0
0.411351,32.0,35.0,BSHM,24.3379,1667312100.0
0.434186,32.0,35.0,BSHM,23.6366,1667312400.0
0.412053,32.0,35.0,BSHM,23.1527,1667312700.0
0.460589,32.0,35.0,BSHM,22.7021,1667313000.0
0.492356,32.0,35.0,BSHM,21.8495,1667313300.0
0.492678,32.0,35.0,BSHM,21.1408,1667313600.0
0.531956,32.0,35.0,BSHM,20.3515,1667313900.0
0.434782,32.0,35.0,BSHM,19.184,1667314200.0
0.434647,32.0,35.0,BSHM,18.6753,1667314500.0
0.434748,32.0,35.0,BSHM,17.9866,1667314800.0
0.461001,32.0,35.0,BSHM,16.9999,1667315100.0
0.492785,32.0,35.0,BSHM,16.0353,1667315400.0
0.492766,32.0,35.0,BSHM,15.247,1667315700.0
0.583574,32.0,35.0,BSHM,14.8379,1667316000.0
0.921461,32.0,35.0,BSHM,13.8735,1667316300.0
1.30291,32.0,35.0,BSHM,12.816,1667316600.0
1.30639,32.0,35.0,BSHM,12.4375,1667316900.0
1.30449,32.0,35.0,BSHM,12.5778,1667318400.0
0.921371,32.0,35.0,BSHM,12.3363,1667318700.0
0.752232,32.0,35.0,BSHM,12.087,1667319000.0
0.651709,32.0,35.0,BSHM,11.8759,1667319300.0
0.651596,32.0,35.0,BSHM,11.7341,1667319600.0
0.752177,32.0,35.0,BSHM,11.6265,1667319900.0
0.651445,32.0,35.0,BSHM,11.573,1667320200.0
0.75243,32.0,35.0,BSHM,11.6095,1667320500.0
1.30944,32.0,35.0,BSHM,11.5609,1667320800.0
1.30332,32.0,35.0,BSHM,9.53132,1667322900.0
0.92446,32.0,35.0,BSHM,10.0921,1667323200.0
1.30264,32.0,35.0,BSHM,8.63891,1667323500.0
1.30483,32.0,35.0,BSHM,8.45165,1667324100.0
0.922629,32.0,35.0,BSHM,7.56161,1667324400.0
1.30408,32.0,35.0,BSHM,7.78493,1667324700.0
1.30446,32.0,35.0,BSHM,7.49244,1667325000.0
0.926883,32.0,35.0,BSHM,6.06297,1667326800.0
0.75508,32.0,35.0,BSHM,6.36281,1667327100.0
