station,records_in_cell,unique_days,coverage_pct_days,unique_hourly_bins,december_days_present,december_coverage_pct,months_run
ARUC,6273,32,8.767,768,0,0.0,7
BSHM,8207,32,8.767,767,0,0.0,7
NICO,4252,32,8.767,730,0,0.0,7
