station,records_in_cell,unique_days,coverage_pct_days,unique_hourly_bins,december_days_present,december_coverage_pct,months_run
ARUC,6104,31,8.493,741,0,0.0,4
BSHM,8219,31,8.493,743,0,0.0,4
NICO,4667,31,8.493,726,0,0.0,4
