station,records_in_cell,unique_days,coverage_pct_days,unique_hourly_bins,december_days_present,december_coverage_pct,months_run
ARUC,6396,31,8.493,743,0,0.0,1
BSHM,7962,31,8.493,744,0,0.0,1
NICO,5808,31,8.493,736,0,0.0,1
